province,electoral_district,electoral_district_number_numero_de_circonscription,population,electors_electeurs,polling_stations_bureaux_de_scrutin,valid_ballots_bulletins_valides,percentage_of_valid_ballots_pourcentage_des_bulletins_valides,rejected_ballots_bulletins_rejetes,percentage_of_rejected_ballots_pourcentage_des_bulletins_rejetes,total_ballots_cast_total_des_bulletins_deposes,percentage_of_voter_turnout_pourcentage_de_la_participation_electorale,party,elected_party
Alberta,Bow River,48003,115022,82243,222,51138,99.4,300,0.6,51438,62.5,Conservateur,Conservative
Alberta,Calgary Centre/Calgary-Centre,48004,119176,95190,226,59208,99.1,509,0.9,59717,62.7,Conservateur,Conservative
Alberta,Calgary Confederation,48005,122023,91983,258,61631,99.4,369,0.6,62000,67.4,Conservateur,Conservative
Alberta,Calgary Forest Lawn,48006,111830,73174,200,34648,98.7,442,1.3,35090,48,Conservateur,Conservative
Alberta,Calgary Heritage,48007,112087,81375,198,53542,99.4,313,0.6,53855,66.2,Conservateur,Conservative
Alberta,Calgary Midnapore,48008,121844,95798,244,64530,99.5,355,0.5,64885,67.7,Conservateur,Conservative
Alberta,Calgary Nose Hill,48009,115795,83037,186,50393,99.4,321,0.6,50714,61.1,Conservateur,Conservative
Alberta,Calgary Rocky Ridge,48010,131823,100354,225,66084,99.4,390,0.6,66474,66.2,Conservateur,Conservative
Alberta,Calgary Shepard,48011,147520,115565,283,73559,99.4,416,0.6,73975,64,Conservateur,Conservative
Alberta,Calgary Signal Hill,48012,121392,89020,237,59707,99.4,332,0.6,60039,67.4,Conservateur,Conservative
Alberta,Calgary Skyview,48013,135730,87956,217,47433,99,502,1,47935,54.5,Libéral,Liberal
Alberta,Edmonton Centre/Edmonton-Centre,48014,109941,79203,207,49148,99.3,342,0.7,49490,62.5,Libéral,Liberal
Alberta,Edmonton Griesbach,48015,112287,81685,230,43059,98.9,495,1.1,43554,53.3,NPD-Nouveau Parti démocratique,NDP
Alberta,Edmonton Manning,48016,121048,90163,171,49226,99.1,429,0.9,49655,55.1,Conservateur,Conservative
Alberta,Edmonton Mill Woods,48017,118561,77695,196,48514,99.2,380,0.8,48894,62.9,Conservateur,Conservative
Alberta,Edmonton Riverbend,48018,120863,86420,184,56928,99.5,312,0.5,57240,66.2,Conservateur,Conservative
Alberta,Edmonton Strathcona,48019,106066,76037,214,52223,99.4,317,0.6,52540,69.1,NPD-Nouveau Parti démocratique,NDP
Alberta,Edmonton West/Edmonton-Ouest,48020,121869,91388,187,55989,99.5,302,0.5,56291,61.6,Conservateur,Conservative
Alberta,Edmonton--Wetaskiwin,48021,158749,133800,266,86843,99.3,576,0.7,87419,65.3,Conservateur,Conservative
Alberta,Foothills,48022,113227,89956,262,64216,99.6,251,0.4,64467,71.7,Conservateur,Conservative
Alberta,Fort McMurray--Cold Lake,48023,110230,77398,228,43150,99.2,327,0.8,43477,56.2,Conservateur,Conservative
Alberta,Grande Prairie--Mackenzie,48024,117327,84343,237,53140,99.4,315,0.6,53455,63.4,Conservateur,Conservative
Alberta,Lakeland,48025,108451,79059,264,52651,99.6,229,0.4,52880,66.9,Conservateur,Conservative
Alberta,Lethbridge,48026,117394,90847,253,58973,99.5,282,0.5,59255,65.2,Conservateur,Conservative
Alberta,Medicine Hat--Cardston--Warner,48027,106896,79992,226,48414,99.4,274,0.6,48688,60.9,Conservateur,Conservative
Alberta,Peace River--Westlock,48028,109965,75685,240,46789,99.6,198,0.4,46987,62.1,Conservateur,Conservative
Alberta,Red Deer--Lacombe,48030,128786,95567,268,61979,99.4,348,0.6,62327,65.2,Conservateur,Conservative
Alberta,Red Deer--Mountain View,48029,119019,90474,261,63320,99.6,278,0.4,63598,70.3,Conservateur,Conservative
Alberta,St. Albert--Edmonton,48031,121313,94889,246,62340,99.5,338,0.5,62678,66.1,Conservateur,Conservative
Alberta,Sherwood Park--Fort Saskatchewan,48032,122193,97600,266,71398,99.6,298,0.4,71696,73.5,Conservateur,Conservative
Alberta,Sturgeon River--Parkland,48033,120784,95719,258,66476,99.5,331,0.5,66807,69.8,Conservateur,Conservative
Alberta,Yellowhead,48034,101979,75205,233,50792,99.4,294,0.6,51086,67.9,Conservateur,Conservative
British Columbia/Colombie-Britannique,Abbotsford,59001,101814,76429,160,45050,99.2,370,0.8,45420,59.4,Conservateur,Conservative
British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,59002,102486,79852,189,49184,99.4,273,0.6,49457,61.9,Libéral,Liberal
British Columbia/Colombie-Britannique,Burnaby South/Burnaby-Sud,59003,111973,80092,189,40608,99.3,291,0.7,40899,51.1,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Cariboo--Prince George,59004,108907,85636,231,50713,99.5,267,0.5,50980,59.5,Conservateur,Conservative
British Columbia/Colombie-Britannique,Central Okanagan--Similkameen--Nicola,59005,110293,100229,245,64210,99.3,466,0.7,64676,64.5,Conservateur,Conservative
British Columbia/Colombie-Britannique,Chilliwack--Hope,59006,100126,85809,211,52160,99.5,250,0.5,52410,61.1,Conservateur,Conservative
British Columbia/Colombie-Britannique,Cloverdale--Langley City,59007,117640,88348,200,53250,99.1,508,0.9,53758,60.8,Libéral,Liberal
British Columbia/Colombie-Britannique,Coquitlam--Port Coquitlam,59008,123576,93787,217,55716,99.3,402,0.7,56118,59.8,Libéral,Liberal
British Columbia/Colombie-Britannique,Courtenay--Alberni,59009,114647,106293,267,69250,99.7,215,0.3,69465,65.4,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Cowichan--Malahat--Langford,59010,108052,99024,247,63032,99.5,306,0.5,63338,64,NPD-Nouveau Parti démocratique,NDP
