province,electoral_district,electoral_district_number_numero_de_circonscription,population,electors_electeurs,polling_stations_bureaux_de_scrutin,valid_ballots_bulletins_valides,percentage_of_valid_ballots_pourcentage_des_bulletins_valides,rejected_ballots_bulletins_rejetes,percentage_of_rejected_ballots_pourcentage_des_bulletins_rejetes,total_ballots_cast_total_des_bulletins_deposes,percentage_of_voter_turnout_pourcentage_de_la_participation_electorale,party,elected_party
British Columbia/Colombie-Britannique,Delta,59011,103064,78282,179,52305,99.4,300,0.6,52605,67.2,Libéral,Liberal
British Columbia/Colombie-Britannique,Esquimalt--Saanich--Sooke,59026,120834,103129,239,65542,99.1,565,0.9,66107,64.1,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Fleetwood--Port Kells,59012,116958,81024,208,47185,99.1,417,0.9,47602,58.8,Libéral,Liberal
British Columbia/Colombie-Britannique,Kamloops--Thompson--Cariboo,59013,124358,107548,295,70448,99.5,324,0.5,70772,65.8,Conservateur,Conservative
British Columbia/Colombie-Britannique,Kelowna--Lake Country,59014,119388,106585,231,67142,99.5,346,0.5,67488,63.3,Conservateur,Conservative
British Columbia/Colombie-Britannique,Kootenay--Columbia,59015,112354,96079,264,64965,99.5,317,0.5,65282,67.9,Conservateur,Conservative
British Columbia/Colombie-Britannique,Langley--Aldergrove,59016,117017,97353,217,62635,99.5,312,0.5,62947,64.7,Conservateur,Conservative
British Columbia/Colombie-Britannique,Mission--Matsqui--Fraser Canyon,59017,94825,71078,178,43175,99.3,302,0.7,43477,61.2,Conservateur,Conservative
British Columbia/Colombie-Britannique,Nanaimo--Ladysmith,59018,122710,108490,263,68765,99.6,277,0.4,69042,63.6,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,New Westminster--Burnaby,59019,115340,87509,185,49324,99.1,462,0.9,49786,56.9,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,North Island--Powell River,59037,105466,93163,252,60263,99.3,421,0.7,60684,65.1,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,North Okanagan--Shuswap,59020,124605,112329,306,72397,99.5,372,0.5,72769,64.8,Conservateur,Conservative
British Columbia/Colombie-Britannique,North Vancouver,59021,115344,90437,213,59320,99.4,383,0.6,59703,66,Libéral,Liberal
British Columbia/Colombie-Britannique,Pitt Meadows--Maple Ridge,59022,101101,82786,179,52833,99.5,278,0.5,53111,64.2,Conservateur,Conservative
British Columbia/Colombie-Britannique,Port Moody--Coquitlam,59023,110817,84028,204,52091,99.2,428,0.8,52519,62.5,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Prince George--Peace River--Northern Rockies,59024,110995,80724,222,49197,99.1,430,0.9,49627,61.5,Conservateur,Conservative
British Columbia/Colombie-Britannique,Richmond Centre/Richmond-Centre,59025,98396,74710,183,34161,99,340,1,34501,46.2,Libéral,Liberal
British Columbia/Colombie-Britannique,Saanich--Gulf Islands,59027,107339,94293,234,65522,99.4,374,0.6,65896,69.9,Parti Vert,Green
British Columbia/Colombie-Britannique,Skeena--Bulkley Valley,59028,88920,68088,222,37391,99.5,193,0.5,37584,55.2,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,59029,114695,103310,285,66780,99.4,434,0.6,67214,65.1,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,South Surrey--White Rock/Surrey-Sud--White Rock,59030,104051,88281,215,56905,99.4,340,0.6,57245,64.8,Conservateur,Conservative
British Columbia/Colombie-Britannique,Steveston--Richmond East/Steveston--Richmond-Est,59031,99913,74641,186,38949,99.1,363,0.9,39312,52.7,Libéral,Liberal
British Columbia/Colombie-Britannique,Surrey Centre/Surrey-Centre,59032,120172,75657,161,38386,98.7,510,1.3,38896,51.4,Libéral,Liberal
British Columbia/Colombie-Britannique,Surrey--Newton,59033,114605,65973,163,36610,98.9,404,1.1,37014,56.1,Libéral,Liberal
British Columbia/Colombie-Britannique,Vancouver Centre/Vancouver-Centre,59034,116443,91864,227,51617,99.2,422,0.8,52039,56.6,Libéral,Liberal
British Columbia/Colombie-Britannique,Vancouver East/Vancouver-Est,59035,115724,91371,231,49591,98.9,528,1.1,50119,54.9,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Vancouver Granville,59036,103456,82491,201,49560,99.3,331,0.7,49891,60.5,Libéral,Liberal
British Columbia/Colombie-Britannique,Vancouver Kingsway,59038,104870,75060,163,40158,99.2,324,0.8,40482,53.9,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Vancouver Quadra,59039,105608,76613,166,47705,99.4,291,0.6,47996,62.6,Libéral,Liberal
British Columbia/Colombie-Britannique,Vancouver South/Vancouver-Sud,59040,102927,74785,200,40283,98.8,493,1.2,40776,54.5,Libéral,Liberal
British Columbia/Colombie-Britannique,Victoria,59041,117133,101151,232,66748,99.3,468,0.7,67216,66.5,NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,West Vancouver--Sunshine Coast--Sea to Sky Country,59042,119113,98717,256,63459,99.6,279,0.4,63738,64.6,Libéral,Liberal
Yukon,Yukon,60001,35874,30482,88,19406,99.3,142,0.7,19548,64.1,Libéral,Liberal
Northwest Territories/Territoires du Nord-Ouest,Northwest Territories/Territoires du Nord-Ouest,61001,41786,30519,101,14095,98.9,155,1.1,14250,46.7,Libéral,Liberal
Nunavut,Nunavut,62001,35944,21499,64,7189,98.9,78,1.1,7267,33.8,NPD-Nouveau Parti démocratique,NDP
